"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00063420","HAMPTON, CT US","2018-01-01",,"11","-5","-5"
"USC00063420","HAMPTON, CT US","2018-01-02",,"12","-5","4"
"USC00063420","HAMPTON, CT US","2018-01-03",,"18","2","4"
"USC00063420","HAMPTON, CT US","2018-01-04",,"27","4","21"
"USC00063420","HAMPTON, CT US","2018-01-05",,"27","7","8"
"USC00063420","HAMPTON, CT US","2018-01-06",,"13","0","0"
"USC00063420","HAMPTON, CT US","2018-01-07",,"13","-8","-8"
"USC00063420","HAMPTON, CT US","2018-01-08",,"19","-9","19"
"USC00063420","HAMPTON, CT US","2018-01-09",,"33","19","25"
"USC00063420","HAMPTON, CT US","2018-01-10",,"40","12","12"
"USC00063420","HAMPTON, CT US","2018-01-11",,"39","12","38"
"USC00063420","HAMPTON, CT US","2018-01-12",,"50","38","50"
"USC00063420","HAMPTON, CT US","2018-01-13",,"61","50","56"
"USC00063420","HAMPTON, CT US","2018-01-14",,"61","14","14"
"USC00063420","HAMPTON, CT US","2018-01-15",,"25","14","15"
"USC00063420","HAMPTON, CT US","2018-01-16",,"21","15","20"
"USC00063420","HAMPTON, CT US","2018-01-17",,"33","20","32"
"USC00063420","HAMPTON, CT US","2018-01-18",,"35","13","13"
"USC00063420","HAMPTON, CT US","2018-01-19",,"35","13","13"
"USC00063420","HAMPTON, CT US","2018-01-20",,"35","13","32"
"USC00063420","HAMPTON, CT US","2018-01-21",,"47","32","32"
"USC00063420","HAMPTON, CT US","2018-01-22",,"40","32","39"
"USC00063420","HAMPTON, CT US","2018-01-23",,"40","39","39"
"USC00063420","HAMPTON, CT US","2018-01-24",,"50","32","32"
"USC00063420","HAMPTON, CT US","2018-01-25",,"40","17","17"
"USC00063420","HAMPTON, CT US","2018-01-26",,"39","14","14"
"USC00063420","HAMPTON, CT US","2018-01-27",,"36","14","27"
"USC00063420","HAMPTON, CT US","2018-01-28",,"52","27","45"
"USC00063420","HAMPTON, CT US","2018-01-29",,"50","35","35"
"USC00063420","HAMPTON, CT US","2018-01-30",,"39","20","20"
"USC00063420","HAMPTON, CT US","2018-01-31",,"31","12","12"
"USC00063420","HAMPTON, CT US","2018-02-01",,"32","12","30"
"USC00063420","HAMPTON, CT US","2018-02-02",,"43","29","29"
"USC00063420","HAMPTON, CT US","2018-02-03",,"29","5","6"
"USC00063420","HAMPTON, CT US","2018-02-04",,"31","6","31"
"USC00063420","HAMPTON, CT US","2018-02-05",,"43","31","34"
"USC00063420","HAMPTON, CT US","2018-02-06",,"43","20","20"
"USC00063420","HAMPTON, CT US","2018-02-07",,"32","18","20"
"USC00063420","HAMPTON, CT US","2018-02-08",,"42","18","22"
"USC00063420","HAMPTON, CT US","2018-02-09",,"30","13","13"
"USC00063420","HAMPTON, CT US","2018-02-10",,"34","13","34"
"USC00063420","HAMPTON, CT US","2018-02-11",,"43","34","43"
"USC00063420","HAMPTON, CT US","2018-02-12",,"56","34","37"
"USC00063420","HAMPTON, CT US","2018-02-13",,"57","20","20"
"USC00063420","HAMPTON, CT US","2018-02-14",,"36","20","30"
"USC00063420","HAMPTON, CT US","2018-02-15",,"49","30","39"
"USC00063420","HAMPTON, CT US","2018-02-16",,"49","39","48"
"USC00063420","HAMPTON, CT US","2018-02-17",,"52","24","26"
"USC00063420","HAMPTON, CT US","2018-02-18",,"40","26","29"
"USC00063420","HAMPTON, CT US","2018-02-19",,"43","20","21"
"USC00063420","HAMPTON, CT US","2018-02-20",,"49","21","48"
"USC00063420","HAMPTON, CT US","2018-02-21",,"64","48","56"
"USC00063420","HAMPTON, CT US","2018-02-22",,"66","43","43"
"USC00063420","HAMPTON, CT US","2018-02-23",,"43","30","31"
"USC00063420","HAMPTON, CT US","2018-02-24",,"40","31","40"
"USC00063420","HAMPTON, CT US","2018-02-25",,"55","36","36"
"USC00063420","HAMPTON, CT US","2018-02-26",,"40",,"38"
"USC00063420","HAMPTON, CT US","2018-02-27",,"54","27","32"
"USC00063420","HAMPTON, CT US","2018-02-28",,"53","30","32"
"USC00063420","HAMPTON, CT US","2018-03-01",,"59","32","34"
"USC00063420","HAMPTON, CT US","2018-03-02",,"61","34","35"
"USC00063420","HAMPTON, CT US","2018-03-03",,"44","35","36"
"USC00063420","HAMPTON, CT US","2018-03-07",,"45","27","31"
"USC00063420","HAMPTON, CT US","2018-03-08",,"37","31","31"
"USC00063420","HAMPTON, CT US","2018-03-09",,"37","27","27"
"USC00063420","HAMPTON, CT US","2018-03-10",,"37","27","28"
"USC00063420","HAMPTON, CT US","2018-03-11",,"40","28","28"
"USC00063420","HAMPTON, CT US","2018-03-12",,"46","27","27"
"USC00063420","HAMPTON, CT US","2018-03-13",,"44","24","31"
"USC00063420","HAMPTON, CT US","2018-03-14",,"31","24","24"
"USC00063420","HAMPTON, CT US","2018-03-18",,"43","15","15"
"USC00063420","HAMPTON, CT US","2018-03-19",,"34","15","22"
"USC00063420","HAMPTON, CT US","2018-03-20",,"38","17","20"
"USC00063420","HAMPTON, CT US","2018-03-21",,"40","20","31"
"USC00063420","HAMPTON, CT US","2018-03-22",,"36","29","32"
"USC00063420","HAMPTON, CT US","2018-03-23",,"49","29","29"
"USC00063420","HAMPTON, CT US","2018-03-24",,"46","29","39"
"USC00063420","HAMPTON, CT US","2018-03-25",,"45","32","32"
"USC00063420","HAMPTON, CT US","2018-03-30",,"54","39","52"
"USC00063420","HAMPTON, CT US","2018-03-31",,"57","36","36"
"USC00063420","HAMPTON, CT US","2018-04-01",,"58","36","43"
"USC00063420","HAMPTON, CT US","2018-04-02",,"57","29","29"
"USC00063420","HAMPTON, CT US","2018-04-03",,"40","25","26"
"USC00063420","HAMPTON, CT US","2018-04-04",,"41","26","38"
"USC00061762","DANBURY, CT US","2018-01-01",,"14","-2","12"
"USC00061762","DANBURY, CT US","2018-01-02",,"22","8","14"
"USC00061762","DANBURY, CT US","2018-01-03",,"28","7","17"
